system:index,CC_area,CC_total_port,DC_area,DIC_area,DIC_max,IC_area,LS_DATE,LS_ID: ,LS_SAT,RGI_ID,SC_area,SC_max,SC_mean,SC_median,SC_min,SC_stdev,cc_TSLrange_percent,class_coverage,glacier_DEM_max,glacier_DEM_min,glacier_area,tool_version,.geo
0000ff8714860b422050_1_2_LE07_134040_20200909,1.3125070999295219,22.888703815567123,0.6148435209943613,3.490991774527995,5182,2.876148313171562,2020-09-09,LE07_L1TP_134040_20200909_20201005_01_T1,LANDSAT_7,RGI60-15.12263,0.9308018193849381,4521,4515.161505655479,4516.0,4491,6.561658580115667,11.892525697239437,83.49168888154831,5182,4295,6.868109584188,0.8.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000ff8714860b422050_1_2_LE07_134040_20201011,3.0913028613712275,54.07877318588547,0.3573842321707877,0.766078033185855,5075,0.4086938005200996,2020-10-11,LE07_L1TP_134040_20201011_20201107_01_T1,LANDSAT_7,RGI60-15.12263,1.8589153321542635,4629,4611.345826997051,4618.0,4564,17.543177745146604,33.90206494131689,83.22954284138021,5182,4295,6.868109584188,0.8.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000ff8714860b422050_2_LC08_134040_20201120,6.274419193230264,100.0,0.0,0.0,NaN,0.0,2020-11-20,LC08_L1TP_134040_20201120_20210315_01_T1,LANDSAT_8,RGI60-15.12263,0.0,NaN,NaN,NaN,NaN,NaN,100,91.35583986131277,5182,4295,6.868109584188,0.8.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000ff8714860b422050_2_LC08_134040_20201206,5.96024862682736,97.4536584724861,0.0,0.0,NaN,0.0,2020-12-06,LC08_L1TP_134040_20201206_20210313_01_T1,LANDSAT_8,RGI60-15.12263,0.15573374632901102,4911,4906.178130511465,4909.0,4898,5.1269595556932455,83.55292085339113,89.04899306305018,5182,4295,6.868109584188,0.8.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000ff8714860b422050_2_LC08_134040_20201222,0.0846194975031787,1.4042489092666306,0.0,0.31867506438088894,5128,0.31867506438088894,2020-12-22,LC08_L1TP_134040_20201222_20210310_01_T1,LANDSAT_8,RGI60-15.12263,5.622666804097441,4421,4387.075544957046,4399.999999999999,4275,34.43881423588816,3.970392301384452,87.73828293539616,5182,4295,6.868109584188,0.8.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000ff8714860b422050_2_LC08_134040_20210107,6.07997401553899,100.0,0.0,0.0,NaN,0.0,2021-01-07,LC08_L1TP_134040_20210107_20210307_01_T1,LANDSAT_8,RGI60-15.12263,0.0,NaN,NaN,NaN,NaN,NaN,100,88.52470888840384,5182,4295,6.868109584188,0.8.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000ff8714860b422050_2_LC08_134040_20210123,0.0846194681673924,1.3538868827701682,0.0,0.22055204396470376,5128,0.22055204396470376,2021-01-23,LC08_L1TP_134040_20210123_20210305_01_T1,LANDSAT_8,RGI60-15.12263,5.944942090647197,4421,4386.65086594692,4399.999999999999,4257,36.11146896566146,2.9239011808836715,91.00194925282304,5182,4295,6.868109584188,0.8.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000ff8714860b422050_2_LC08_134040_20210208,0.15393547141826455,2.401357926952487,0.0,0.1818430422391826,5128,0.1818430422391826,2021-02-08,LC08_L1TP_134040_20210208_20210305_01_T1,LANDSAT_8,RGI60-15.12263,6.074572484051143,4421,4386.659190371992,4400.0,4257,34.65630717209879,8.829669774899592,93.33501310701824,5182,4295,6.868109584188,0.8.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000ff8714860b422050_2_LC08_134040_20210224,6.5813910780128255,100.0,0.0,0.0,NaN,0.0,2021-02-24,LC08_L1TP_134040_20210224_20210304_01_T1,LANDSAT_8,RGI60-15.12263,0.0,NaN,NaN,NaN,NaN,NaN,100,95.82536500530993,5182,4295,6.868109584188,0.8.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000ff8714860b422050_2_LC08_134040_20210312,0.5554279522484513,8.266375038998113,0.0,0.09362233709777201,5151,0.09362233709777201,2021-03-12,LC08_L1TP_134040_20210312_20210317_01_T1,LANDSAT_8,RGI60-15.12263,6.070073436796597,4417,4383.6555790501,4398.0,4257,34.669570056494095,1.9029636897666304,97.83075635189498,5182,4295,6.868109584188,0.8.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
